employeeid,name,role,wage,ismanager,username,email,password,googleid
1,Alice Chen,Cashier,15.5,f,alicechen,alice.chen@gmail.com,chen.alice,
68,Test User,Temp,0,f,t1,t1@gmail.com,p1,
7,Darth Vader,Shift Lead,21,t,fatheroftheyear,darth.vader@gmail.com,vader.darth,
2,Brian Lopez,Cook,18,f,blopez,brian.lopez@gmail.com,lopez.brian,
6,Bob Ross,Cook,18,f,happyaccidents,bob.ross@gmail.com,ross.bob,
0,Test User,Temp,0,f,testuser,test.user@gmail.com,PasswordPassword1!,
3,Cynthia Patel,Shift Lead,19,t,cynpat,cynthia.patel@gmail.com,patel.cynthia,
4,David Kim,Manager,25,t,davidk,david.kim@gmail.com,kim.david,
67,John Cena,Invisible,100,t,oaowoervweoi,john.cena@gmail.com,fvnh4(8u*jHDdsvhbvgh,
8,John T. Mantleholder,Cook,16,f,jtmholder,john.t.@gmail.com,t..john,
9,Mario Mario,Dishwasher,14.25,f,supermario,mario.mario@gmail.com,mario.mario,
10,JimBo,Cashier,100,f,balatro,jimbo.@gmail.com,.jimbo,
12,Drof Leanahte,Marketing Lead,67.67,t,droflean,drof.leanahte@gmail.com,leanahte.drof,
14,Erwin Smith,GM,41,t,sasageyo,erwin.smith@gmail.com,smith.erwin,
5,Luke Skywalker,Cook,18,f,coolestjedi,luke.skywalker@gmail.com,skywalker.luke,
13,Reveille,Mascot,1000000,f,proudestaggie,reveille.@gmail.com,.reveille,
